"sv" "en"
"resursutredningen" "resource investigation"
"tina_ehns" "thaw Ehn"
"högdahl" "Högdahl"
"överlyckliga" "overjoyed"
"finansmarknadsministerns" "financial Markets Minister"
"aktionsplan_för_östersjön" "Baltic Sea Action Plan"
"krami" "Krami"
"flashback" "flashback"
"kvinnojoursverksamheten" "shelter operations"
"politkovskaja" "Politkovskaya"
"patentdomstol" "patent court"
"innovationspolitikens" "innovation policy"
"klimatutmaningar" "climate challenges"
"junitoppmötet" "June summit"
"migrationsöverdomstolens" "Migration Court"
"djurskyddsnivån" "Protection level"
"redovisningscentral" "central accounting"
"trygghetsboenden" "sheltered housing"
"alliansbudgeten" "alliance budget"
"säkerhetsansvaret" "security responsibility"
"museikoordinatorn" "museum coordinator"
"statsbyggandet" "state building"
"fredrick" "Fredrick"
"inkassoföretagen" "collection agencies"
"dannemora" "Dannemora"
"klimatskadliga" "climate harmful"
"euklimatmål" "euklimatmål"
"klimatambitionerna" "climate ambitions"
"klimathänseende" "climate respect"
"aleksandr_lukasjenko" "Alexander Lukashenko"
"montan" "montanic"
"skrangliga" "rickety"
"elisabeth_svantesson" "Elisabeth Svantesson"
"inge_garstedt" "Inge Garstedt"
"oskar_öholm" "Oskar Öholm"
"betty_malmberg" "Betty Malmberg"
"studiemedelshöjningen" "study the increase"
"olof_lavesson" "Olof Lavesson"
"brömster" "Brömster"
"marmot" "marmot"
"filippa_reinfeldt" "Filippa Reinfeldt"
"ginikoefficienten" "Gini coefficient"
"härdat_fett" "hydrogenated fat"
"lönedumpningspolitik" "wage dumping policy"
"decilgrupp" "decile"
"ekfors" "Ekfors"
"vållandebrott" "causing fracture"
"borelius" "Borelius"
"pfe" "PFE"
"veteranpolitik" "veteran policies"
"sabunis" "Sabuni"
"patientsäkert" "patient securely"
"abortmetod" "abortion method"
"klimatavtal" "climate"
"klimatförbättringar" "climate improvements"
"christine_jönsson" "Christine Jönsson"
"utsläppsländer" "emitters"
"klimatriktigt" "climate really"
"stjärnhov" "Stjärnhov"
"hedersproblematiken" "honorary problems"
"hjälmereds" "helmet reds"
"plass" "plassering"
"hamnbanan" "harbor railway"
"götaälvbron" "Götaälvbron"
"fredrick_federleys" "Fredrick Federley"
"ungdomsarbetsgivaravgifter" "Youth employer contributions"
"statsbyggande" "state building"
"sadev" "SADEV"
"olmert" "Olmert"
"vittjärn" "white iron"
"ytspårslösning" "ytspårslösning"
"rode" "Rode"
"oppositionsalternativ" "opposition alternative"
"staxäng" "Staxäng"
"helena_leanders" "Helena Leander"
"handelsfrämjandet" "trade promotion"
"nixregistret" "nixregistret"
"romskt" "Roma"
"tonslastbilar" "ton trucks"
"järnvägsbanor" "railway tracks"
"flygplatsutredningen" "airport investigation"
"gömdas" "gömdas"
"förvarsplatser" "repository sites"
"utresor" "exit"
"osmanska_rikets" "Ottoman Empire"
"osmanska" "Ottoman"
"pontier" "Pontians"
"armenisk" "Armenian"
"jobbskaparpolitik" "creating job policy"
"maktkartellens" "power cartel"
"plats_på_scen" "place on stage"
"ungkulturåret" "Young Culture year"
"osubventionerad" "unsubsidised"
"osubventionerade" "unsubsidized"
"schultes" "Schultes"
"akademisera" "academy sera"
"karl_erik_gustafsson" "Karl Erik Gustafsson"
"iup" "IUP"
"christer_fuglesang" "Christer Fuglesang"
"högskolemomsen" "Higher VAT"
"oda" "oda"
"dacreglerna" "dacreglerna"
"integritetsskyddsnämnden" "integrity"
"oskar_öholms" "Oskar öholms"
"talespersonen" "spokesperson"
"äldreboendedelegationen" "retirement delegation"
"öppenvårdsapotek" "outpatient pharmacy"
"maktkartell" "power cartel"
"alliansledamöter" "alliance members"
"landsbygdsstrategi" "rural strategy"
"klimatförslag" "climate proposal"
"sofia_arkelstens" "sofia Arkel Stens"
"katarina_brännström" "Katarina Brännström"
"tredelning" "trisection"
"allianspolitikens" "alliance policy"
"klimatkostnader" "climate costs"
"dysfunktionell" "dysfunctional"
"cun" "cun"
"norlens" "norlens"
"eumigrationspolitik" "eumigrationspolitik"
"marstoppmötet" "March summit"
"vänsteroppositionens" "left opposition"
"jämställdhetssatsningen" "gender equality initiative"
"jämställdhetsåtgärd" "equality action"
"sydlänken" "Sydlänken"
"energimålen" "energy targets"
"kasseförändringarna" "bag changes"
"fairtrade" "fairtrade"
"itö" "ITÖ"
"rymdturism" "space tourism"
"mopedister" "mopeds"
"bolånekostnader" "mortgage costs"
"bolånekostnaderna" "mortgage costs"
"aborträtt" "abortion right"
"konsumtionsfrid" "consumption peace"
"jämställdhetsdepartementet" "gender equality"
"nada" "nada"
"barnkulturutredningen" "children culture investigation"
"european_spallation_source" "European Spallation Source"
"mehmet_kaplans" "Mehmet Kaplan"
"fastmobil" "fixed mobile"
"emma_henrikssons" "Emma Henriksson"
"forskningsinfrastruktur" "research infrastructure"
"studiemedelshöjning" "study increase"
"vräkningsförebyggande" "eviction prevention"
"sargassohavet" "Sargasso sea"
"glasål" "glass eel"
"ålfiskarna" "eel fishermen"
"åtalsregeln" "prosecution rule"
"receptionen" "reception"
"vapenamnestier" "Coat amnesties"
"klimatberedningens" "climate Committee"
"plymouthbröderna" "Plymouth brethren"
"kollektivavtalsmodell" "collective model"
"alpina_vm_i_åre" "Alpine World Championships in Åre"
"yrkesprogrammet" "professional program"
"läromedelscensur" "teaching aids censorship"
"panzisjukhuset" "Panzi Hospital"
"lågtrafikerad" "low traffic"
"bombanfall" "bombing"
"nordstream" "nord stream"
"samåka" "carpooling"
"kyotoperioden" "Kyoto period"
"stevia" "stevia"
"sukralos" "sucralose"
"amsprojekt" "amsprojekt"
"direktriktade" "directly targeted"
"traineeprogram" "trainee"
"ankomstkommuner" "arrival municipalities"
"förmedlingstjänster" "brokerage services"
"fiskeriavtal" "fisheries agreements"
"beröringsskräck" "touch horror"
"putinregimen" "putin regime"
"ella" "ella"
"tillgänglighetssatsningar" "availability bets"
"vindruvor" "grapes"
"berlindeklarationen" "Berlin declaration"
"skuldnedskrivningar" "debt write-downs"
"överskuldsattas" "överskuldsattas"
"vårdkoncerner" "care groups"
"bjäresystrarna" "bjäre sisters"
"anneli_särnblads" "Anneli särnblads"
"arbetsmiljöinspektörerna" "work inspectors"
"positionsförflyttningar" "position movements"
"elisabeth_svantessons" "Elisabeth Svantesson"
"reproduktionsstörande" "reproduction"
"invandringsfrågan" "immigration issue"
"transfettsyror" "trans fatty acids"
"vegetariska" "vegetarian"
"lokalproducerat" "locally produced"
"transfettet" "trans fat"
"åtalsimmunitet" "immunity from prosecution"
"medvedev" "Medvedev"
"alliansöverenskommelse" "alliance agreement"
"hedegaard" "Hedegaard"
"driftställe" "place"
"upprustningsbehov" "renovation needs"
"sjaunja" "Sjaunja"
"eons" "eons"
"alliansöverenskommelsen" "alliance agreement"
"sjukvårdsmiljard" "medical billion"
"omanovic" "Omanovic"
"vakansgraden" "vacancy rate"
"matchningsproblematik" "matching problems"
"partssamråd" "party consultation"
"intendenturpersonal" "stewards"
"föddas" "born citizens"
"marianne_kierkemann" "Marianne kierkemann"
"barnhuset" "Child House"
"alliansledda" "led alliance"
"hemlöshetsstrategin" "homelessness strategy"
"jörgen_hellman" "Jorgen Hellman"
"ilokärnkonventioner" "ilokärnkonventioner"
"vinstnivåerna" "profit levels"
"vinstjakt" "gain hunting"
"bergheden" "mountain heath"
"alliansregeringar" "alliance governments"
"urfolks" "indigenous Peoples"
"hyresgarantierna" "rental guarantees"
"signalspaningsverksamheten" "signals operations"
"energiandel" "energy share"
"david_cameron" "david Cameron"
"lissabonfördraget" "Lisbon Treaty"
"hållbarhetsrådet" "sustainability Council"
"underentreprenör" "subcontractor"
"klimatanpassas" "adapted climate"
"efterkonvertera" "by converting"
"passivhus" "passive"
"ccs" "ccs"
"jazzmusiker" "jazz musician"
"ekvivalenter" "equivalents"
"klimatberedningen" "climate Committee"
"hållbarhetsarbete" "sustainability work"
"resultatorienterat" "results-oriented"
"due" "Due"
"tvågradersmålet" "two degree target"
"cyklisternas" "cyclists"
"klimatbelastningen" "climate impact"
"järnhjul" "iron wheels"
"skolinspektionen" "school inspection"
"jacob_johnsons" "Jacob Johnson"
"partikelhalterna" "particle levels"
"tonnageskattefrågan" "tonnage question"
"jobbskatteavdragen" "earned income tax credit"
"prestationsbaserad" "performance-based"
"rättsutredningen" "judicial inquiry"
"finn_bengtssons" "Finn Bengtsson"
"magkänsla" "gut feeling"
"livmoderhalscancer" "cervical"
"jobberbjudande" "job offer"
"veteranpolitiken" "veteran policy"
"klimatfonden" "climate Fund"
"sållningsprov" "screening test"
"accessprojektet" "access project"
"accessjobben" "access jobs"
"jobbutvecklingen" "job development"
"budgetsatsning" "Financial investment"
"frasignalspaning" "frasignalspaning"
"örebro_läns_landsting" "Örebro County Council"
"cykelled" "bike path"
"brukarundersökningar" "user surveys"
"länskort" "county cards"
"flygplatsavgifter" "airport charges"
"högskolebaserad" "university-based"
"uranfrågan" "uranium question"
"innovationsgrad" "degree of innovation"
"fordonssektorn" "automotive sector"
"cocktailpartyn" "cocktail parties"
"khelili" "khelili"
"inhysa" "housing"
"drömyrke" "dream job"
"slutkundsmarknaden" "retail market"
"konsumtionsstimulans" "consumption stimulus"
"biblioteksstrategi" "library strategy"
"bibliotekspolitiken" "library policy"
"ip_adresser" "iP addresses"
"spelreglering" "game control"
"ali_esbati" "ali esbati"
"landström" "shore"
"mobiltäckningen" "mobile coverage"
"eliza" "Eliza"
"framtidssäkra" "future secure"
"sitic" "parasitic"
"fildelar" "file sharing"
"mejern" "mejern"
"klimatsäkra" "climate secure"
"trafikförsörjningsprogram" "Traffic livelihood programs"
"klimatkrav" "climatic"
"fordonsforskningen" "vehicle research"
"klimatambitioner" "climate ambitions"
"folkmordsfrågan" "genocide question"
"zebari" "Zebari"
"abdullah" "abdullah"
"dopningsmissbruk" "doping abuse"
"dopningsområdet" "doping area"
"exportfinansiering" "export financing"
"fjärrvärmelagen" "heating Act"
"kattutredning" "cat investigation"
"allianspolitiker" "alliance politicians"
"uppstarten" "start-up"
"egenanställning" "self employment"
"egenanställningsföretag" "own employment company"
"räkfiske" "shrimp fishing"
"forseke" "Forseke"
"eva_selin_lindgren" "Eva Selin Lindgren"
"klimatperspektivet" "climate perspective"
"säkerhetsindustrin" "security industry"
"krg" "KRG"
"migrationsdomstolarnas" "migration courts"
"förmögenhetskoncentration" "wealth concentration"
"reformutrymmen" "reform spaces"
"budgetramverk" "budget framework"
"viceordförande" "Vice Chairman"
"valövervakningar" "election observation"
"ims" "ims"
"våldsutsatt" "violence exposed"
"försvarets_radioanstalts" "Defence Radio Establishment"
"könsuttryck" "gender expression"
"församlingstillhörighet" "Assembly affiliation"
"regionkommuner" "region municipalities"
"reformambitioner" "reform ambitions"
"fokusområde" "focus area"
"nyarbetslösa" "newly unemployed"
"reformfördraget" "reform Treaty"
"stridsgruppskonceptet" "battlegroup concept"
"transportstyrelsens" "transport Board"
"transportstyrelsen" "transport Board"
"transportstyrelse" "transport board"
"hamnstrategiutredningen" "port strategy investigation"
"mälarhamnar" "Mälarhamnar"
"renoveringsarbete" "renovation work"
"lavaldomen" "Laval judgment"
"utstationerar" "posts"
"rüffertdomen" "rüffertdomen"
"christofer_fjellner" "Christofer Fjellner"
"lissabonfördrag" "Lisbon treaty"
"fontänhusen" "fountain houses"
"inkomstförsäkring" "income insurance"
"nyfriskjobb" "again jobs"
"sparbankernas" "savings banks"
"energimarknadsinspektionens" "The EI"
"sydvästlänken" "south link"
"hållbarhetsredovisningar" "sustainability reports"
"euenergi" "euenergi"
"klimatöverenskommelse" "climate agreement"
"resultatlöner" "earnings wages"
"regelrådet" "The Council"
"innovationspropositionen" "innovation bill"
"ridskola" "riding school"
"alkohollagsutredningen" "Alcohol investigation"
"folkbokföringsutredningen" "population study"
"stalkningsutredningen" "stalking investigation"
"samordningsnummer" "samordningsnummer"
"säkerhetstänk" "safety approach"
"kontaktpoliser" "contact police"
"kerstin_haglö" "Kerstin haglö"
"rivieres" "Rivieres"
"kunskapsstödet" "knowledge aid"
"screeningprogram" "screening"
"esabelle_dingizian" "esabelle Dingizian"
"nck" "nck"
"avstämningspunkter" "milestones"
"thingwall" "Thingwall"
"klimatsmarta" "climate-smart"
"plug" "plug"
"trimningsåtgärder" "tuning measures"
"överinvesterat" "invested over"
"statligt_ägda_bolaget" "State-owned company"
"kvinnofridslinjen" "Kvinnofridslinjen"
"schenström" "Schenström"
"reklamombudsman" "Mediator advertising"
"engla" "engla"
"räntesnurran" "interest Spinning Top"
"räntesnurrorna" "interest turbines"
"räntesnurror" "interest turbines"
"claes_stråth" "claes Stråth"
"lissabonfördragets" "Lisbon Treaty"
"aleksander_gabelic" "Aleksander Gabelic"
"pernod" "Pernod"
"fjärrvärmeföretag" "district heating companies"
"energieffektiviseringsutredningen" "energy efficiency study"
"klimatskattepaketet" "Climate tax package"
"klimatskattepaket" "climate tax package"
"reklamombudsmannen" "advertising Ombudsman"
"nordic_battlegroup" "Nordic Battle Group"
"nätmobbning" "cyberbullying"
"utförsäljningsråd" "utförsäljningsråd"
"jobbrådslaget" "job the council"
"borgafjäll" "Borgafjäll"
"norrsundet" "north Straits"
"tvätteribranschen" "laundry industry"
"skattefelskartan" "skattefelskartan"
"carin_runeson" "Carin Runeson"
"lavalfrågan" "Laval question"
"miltonutredningen" "milton investigation"
"otto_von_arnold" "Otto von Arnold"
"helena_bouvengs" "Helena bouvengs"
"kärnvärden" "core values"
"rättsstatlighet" "constitutionality"
"lavalfallet" "Laval case"
"georgiska" "Georgian"
"doftämnen" "fragrances"
"apotekskedja" "pharmacy chain"
"handelsmarginal" "trading margin"
"apoteksbranschen" "pharmacy industry"
"patientsäker" "patient safety"
"klimatsmartare" "climate smarter"
"inflygningar" "approaches"
"prissättningsmodell" "pricing model"
"apoteksaktörer" "pharmacy operators"
"förvärvsgarantier" "acquisition guarantees"
"apoteksmarknad" "pharmacy market"
"apotekssystemet" "pharmacy system"
"systemanalyser" "systems analysis"
"nargis" "Nargis"
"pekingplattformen" "Beijing platform"
"amineh_kakabaveh" "amineh kakabaveh"
"amineh_kakabavehs" "Amineh kakabavehs"
"ulrica_schenström" "Ulrica Schenström"
"malin_löfsjögård" "malic Löfsjögård"
"lavalutredningen" "Laval investigation"
"rehabkedja" "rehab chain"
"rüffert" "Rüffert"
"rehabkedjan" "rehab chain"
"bristutbildningar" "lack training"
"ctö" "CTO"
"allianspolitikerna" "alliance politicians"
"bucht" "bucht"
"svenska_militära_insatsen" "Swedish military effort"
"klimatskatterna" "climate taxes"
"klimatpaketet" "climate package"
"klimatsatsningen" "climate initiative"
"miljösmart" "environmentally friendly"
"havsmiljöanslag" "marine environmental grants"
"klimatbra" "klimatbra"
"biogasproduktionen" "biogas production"
"klimatsatsning" "climate initiative"
"bilfria" "pedestrian"
"musikalliansen" "music Alliance"
"certifieringssystemet" "certification system"
"nyfriskjobben" "again jobs"
"arbetslöshetsavgiften" "unemployment rates"
"helårspersoner" "full-time staff"
"skattefelskarta" "skattefelskarta"
"överklassnära" "near upper"
"underhållssatsningar" "maintenance efforts"
"villkorsdumpning" "conditions dumping"
"adaptiv" "adaptive"
"bemanningsdirektivet" "manning Directive"
"biogassatsningar" "biogas investments"
"förskollärarlyftet" "preschool Lärarlyftet"
"förskolelyft" "pre-lifting"
"prümrådsbeslutet" "prümrådsbeslutet"
"datalagringsdirektivet" "Data Retention Directive"
"pnr" "PNR"
"cameron" "cameron"
"vilks" "Vilks"
"klustervapnet" "cluster Force"
"bevisprov" "proof test"
"alkotester" "alcohol tests"
"flygtransportkapacitet" "air transport"
"transportplanen" "transport plan"
"övningsplatser" "practice Sites"
"dubbdäcksavgift" "studded charge"
"sternrapport" "ester report"
"toalettavfall" "sewage"
"arbetsmiljöärenden" "work pending"
"beredskapsperioden" "standby period"
"tms" "TMS"
"arbetslivstrygghet" "work security"
"förnybarhetsmålet" "renewability"
"msb" "MSB"
"klimatförändringens" "climate change"
"länsrättsorganisationen" "provincial court organization"
"basbudgetstöd" "core support"
"postkonflikt" "post-conflict"
"watz" "Watz"
"smsoch" "smsoch"
"lage_rahm" "bearing Rahm"
"skuggsamhälle" "shadow society"
"diskrimineringsersättning" "discrimination compensation"
"könsöverskridande_identitet" "transgender identity"
"periodiciteten" "periodicity"
"inbromsningen" "slowdown"
"kollektivavtalad" "collective agreement"
"sven_yngve_persson" "Sven Yngve Persson"
"patientdatalagen" "patient Data Act"
"kouchner" "Kouchner"
"djurskyddskontrollen" "animal welfare control"
"valfrihetssystem" "system of choice"
"resiliens" "resilience"
"roger_haddad" "Roger Haddad"
"kompetenskommission" "Commission competence"
"programråden" "Programme Board"
"matchningsinsatser" "matching operations"
"cvc" "CVC"
"sexuellt_överförbara_infektioner" "Sexually transmitted infections"
"heltidsarbetslös" "full-time unemployed"
"identitetsstölder" "identity theft"
"oligarker" "oligarchs"
"deltidsbegränsningen" "part time limit"
"innovationsproposition" "innovation bill"
"odin" "Odin"
"utförsäljningsprocessen" "Closeout process"
"egenanställningar" "own positions"
"destinationsutveckling" "destination development"
"rothenbergs" "Roth&#39;s"
"pmoi" "PMOI"
"tvärnitar" "cross rivets"
"helårsekvivalenser" "helårsekvivalenser"
"pensionsutveckling" "board development"
"rekordinvesteringar" "record investment"
"sunni" "Sunni"
"specialutställningarna" "special exhibitions"
"oligarkerna" "oligarchs"
"utvecklingsfel" "utvecklingsfel"
"fackmässigt" "professionally"
"växtskyddsmedlet" "plant protection"
"examensbeskrivningarna" "degree descriptions"
"platsbesök" "site visits"
"högskoleminister" "Minister of Higher Education"
"stödtelefon" "support phone"
"värdighetsutredningen" "dignity investigation"
"attendo_care" "Attendo care"
"attendo" "attendo"
"fastighetsboxar" "Fastighetsboxar"
"lönekartläggningarna" "pay survey area"
"göteborg_wind_orchestra" "Göteborg Wind Orchestra"
"statsceremoniell" "state ceremonial"
"försvarsmusik" "defense music"
"statsceremonier" "state ceremonies"
"myndighetsförordningen" "government regulation"
"stridsgrupperna" "battlegroups"
"tchadinsatsen" "chad insert"
"regionbildningar" "regional formations"
"utsorteringskedja" "sorting chain"
"samhällsutmaning" "societal challenge"
"schlingmanns" "schlingmanns"
"sjukförsäkringsreform" "Health insurance reform"
"samproblemsjukdomar" "samproblemsjukdomar"
"hpv" "HPV"
"uppföljbara" "uppföljbara"
"fullharmoniseringsdirektiv" "Full harmonization directives"
"utsorteringskedjan" "sorting chain"
"beslutsstöden" "Decision aids"
"diagnosbaserad" "diagnosis based"
"solsidan" "sunny side"
"grossistnivå" "wholesale level"
"postkonfliktländer" "post-conflict countries"
"exporttullar" "export duties"
"miljöprocessutredningen" "environmental investigation process"
"utryckningsförare" "emergency drivers"
"djurskyddskontroll" "welfare controls"
"djurskyddskontrollerna" "welfare checks"
"byggprocessutredningen" "construction process investigation"
"bidragsparti" "contribution portion"
"medelhavsunionen" "Mediterranean Union"
"bamako" "Bamako"
"landfokuseringen" "country focus"
"diaspora" "diaspora"
"folkrörelsebiståndet" "civil society support"
"barack_obama" "Barack obama"
"förlossningsskador" "birth injuries"
"malis" "Malis"
"aktörssamverkan" "actor cooperation"
"solcellsanläggning" "photovoltaic plant"
"medpassagerare" "passengers"
"drivmedelsförsörjningen" "fuel supply"
"jobbtrafficking" "job trafficking"
"saneringsansvaret" "Sanitation responsibility"
"drivmedelsstationer" "fuel stations"
"universitetskompetenta" "University competent"
"högdahls" "högdahls"
"amstrams" "amstrams"
"hovsjö" "Hovsjö"
"rekryteringsförsök" "recruitment effort"
"yrkesvux" "vocational"
"anfalkampanjen" "the Anfal campaign"
"venezuelas" "Venezuelan"
"pontiska_greker" "Pontic Greeks"
"höghastighetsbanorna" "high-speed lines"
"kosovostrategin" "Kosovo strategy"
"madelene_sandström" "Madelene Sandström"
"duker" "duker"
"fullständighetsprincipen" "completeness principle"
"amineh" "Amineh"
"neelie_kroes" "Neelie Kroes"
"storstadsstödet" "metropolitan aid"
"storstadstidningar" "metropolitan newspapers"
"mediemångfald" "media pluralism"
"gob" "gob"
"teckalkriterierna" "Teckal"
"utförsäljningsrådet" "Closeout Council"
"företagsägt" "företagsägt"
"företagsdrivet" "company-run"
"fungurume" "Fungurume"
"lundin_mining" "Lundin Mining"
"christian_holms" "Christiansholms"
"samstämmighetspolitik" "coherence policy"
"målnivån" "target"
"älgförvaltningen" "elk management"
"underlagsrapporten" "background report"
"aleris" "Aleris"
"caroline_helmersson_olsson" "Caroline Helmersson Olsson"
"hannah_bergstedt" "hannah Bergstedt"
"fildelare" "file sharers"
"fatahs" "Fatah"
"novus" "novus"
"blogginlägg" "blog posts"
"automatiserade" "automated"
"masslagring" "mass storage"
"integritetsstärkande" "privacy enhancing"
"ola_alterå" "ola Alterå"
"camp_northern_lights" "Camp Northern Lights"
"djamena" "N&#39;Djamena"
"mackdöden" "Mack death"
"siffertricksandet" "numerical trick force"
"konkurrenskraftsproblem" "competitiveness problems"
"klimateffektiva" "climate effective"
"finansoro" "financial turmoil"
"skrotbranschen" "scrap industry"
"skatteutgift" "tax expense"
"alliansledamöterna" "alliance members"
"ambulanssjukvårdare" "paramedics"
"vårdvalssystem" "care choice system"
"vårdvalsmodeller" "care choice models"
"tonårsaborterna" "teenage abortions"
"uppskovsräntan" "suspension rate"
"jobbeffekter" "job effects"
"roland_bäckman" "Roland Bäckman"
"fastighetsavgiftens" "property fee"
"nollenergihus" "zero energy"
"peder_wachtmeister" "Peder Wachtmeister"
"exporttullarna" "export duties"
"tvärnitade" "slammed on the brakes"
"tunnelbaneutbyggnaden" "Metro expansion"
"kollektivtrafiklagstiftningen" "public law"
"kattegattleden" "kattegat ranks"
"cykelorganisationer" "cycle organizations"
"infrastrukturministrar" "infrastructure ministers"
"stockholmsförhandlingen" "Stockholm hearing"
"bävrar" "beavers"
"branschavtal" "industry agreement"
"energidepartementet" "energy Department"
"kriget_i_georgien" "War in Georgia"
"ungdomsarbetsgivaravgifterna" "Youth employer"
"ungdomsarbetsgivaravgiften" "Youth employer contributions"
"bostadstillfällen" "residence times"
"forskningsstarka" "research strengths"
"ljubljana" "Ljubljana"
"återbygga" "rebuild"
"östliga_partnerskapet" "Eastern partnership"
"minskgruppen" "Minsk group"
"cyberattacker" "cyber attacks"
"cancerstrategi" "cancer strategy"
"decembertoppmötet" "December summit"
"carnegieskandalen" "Carnegie scandal"
"carnegies" "Carnegie"
"urban_funered" "urban Funered"
"rekryteringskonsulter" "recruitment Consultants"
"rekryteringskonsult" "recruitment consultant"
"kärnbränslecykeln" "nuclear fuel cycle"
"krimhalvön" "Crimean Peninsula"
"sotji" "Sochi"
"huvudentreprenörsansvar" "contractor responsibilities"
"jobbcoach" "job coach"
"helikopterförmåga" "helicopter ability"
"korvetterna" "corvettes"
"smartast" "the smartest"
"nineveslätten" "Nineveh Plains"
"telekomoperatörer" "telecom operators"
"skatteparadiset" "tax haven"
"norrsundets" "Norrsundets"
"traineeplatser" "trainee"
"unamid" "UNAMID"
"nicolas_sarkozy" "Nicolas Sarkozy"
"eliza_roszkowska_öbergs" "Eliza roszkowska Öbergs"
"materielinvesteringar" "equipment investment"
"separatisterna" "separatists"
"samordningsförbundens" "coordination unions"
"processat_kött" "processed meat"
"livsmedelsstrategin" "food strategy"
"ekoproduktion" "organic production"
"mediehus" "media houses"
"mediemångfalden" "media pluralism"
"annullerar" "cancels"
"miljösmarta" "environmentally friendly"
"drivmattor" "driving mats"
"därbak" "Back there"
"katarina_köhler" "Katarina Köhler"
"cbrn" "CBRN"
"pensionärsskatten" "senior tax"
"konkurrenskraftspaket" "competitiveness package"
"huvudprioriteringar" "main priorities"
"annapolis" "Annapolis"
"hamburgerkedjorna" "burger chains"
"anti_avsans" "anti avsans"
"kvalitetsbaserade" "quality-based"
"dtp" "DTP"
"busschaufför" "bus driver"
"beslutsstödet" "decision support"
"avståndsbaserad" "distance based"
"restaurangsektorn" "restaurant sector"
"reseavdragssystemet" "deductions for travel expenses system"
"förvildade" "feral"
"balimötet" "Bali meeting"
"flyktingkrisen" "the refugee crisis"
"vidarebosättningsprogram" "resettlement program"
"arbetslivskoppling" "working coupling"
"ankersjö" "Ankersjö"
"northland_resources" "Northland Resources"
"mpeg" "MPEG"
"klimatambition" "climate ambition"
"momsföring" "VAT marketing"
"tillväxtresurserna" "resources for growth"
"if_metalls_ordförande" "IF Metall&#39;s chairman"
"fordonsföretagen" "automotive companies"
"programråd" "Counsellor"
"tvåbefälssystem" "tvåbefälssystem"
"lyxfällan" "Lyxfällan"
"materielbudgeten" "Supplies budget"
"försvarsindustristrategi" "defense strategy"
"bindningstid" "period"
"swedbanks" "Swedbank"
"tillväxtresurser" "sources of growth"
"ertms" "ERTMS"
"radikaliseringen" "radicalization"
"idrottslyftet" "sports codend"
"extremväder" "extreme weather"
"reformsamarbete" "reform cooperation"
"klimatbiståndet" "climate aid"
"klimatanpassningsåtgärder" "climate adaptation"
"youtube" "youtube"
"institutet_för_näringslivsforskning" "Institute for business research"
"arbetsgivarintyget" "employer&#39;s certificate"
"arbetsgivarintygen" "employers&#39; certificates"
"jämställdhetsfokus" "Equal focus"
"handläggartätheten" "handläggartätheten"
"karenssystem" "withdrawal system"
"offentligdriven" "square tillage"
"regelrådets" "rule Council"
"innovationsprogram" "innovation programs"
"skoterpolitiken" "snowmobile policy"
"snöskoterleder" "snowmobile routes"
"skoterpolitik" "snowmobile policy"
"snöskoterrådet" "snowmobile Council"
"konsumentkreditdirektivet" "Consumer Credit Directive"
"tibble" "Tibble"
"kunskapsreformer" "knowledge reforms"
"ögonöppnare" "eye opener"
"examenspremier" "graduated premiums"
"infrastrukturförvaltare" "infrastructure managers"
"libe" "LIBE"
"bussfiler" "bus lanes"
"klimatåtgärd" "climate action"
"vhf" "VHF"
"tandvårdsbidrag" "dental grant"
"tsunamibanden" "tsunami bands"
"säkerhetskopior" "backups"
"sekretessbestämmelsen" "secrecy provision"
"europadieseln" "European diesel"
"europadiesel" "European diesel"
"avståndsbaserat" "distance based"
"landsbygdsstrategin" "rural strategy"
"setra" "Setra"
"närfiskat" "Närfiskat"
"fiskodlingarna" "fish farms"
"kontrollavgifterna" "control fees"
"energimotion" "energy exercise"
"klimatlösningar" "climate solutions"
"havsmiljöanslaget" "marine Environmental Facility"
"ivo" "Ivo"
"pålitligheten" "reliability"
"energieffektiviseringsarbetet" "energy work"
"nikotinläkemedlen" "nicotine drugs"
"joseph_stiglitz" "Joseph Stiglitz"
"max_hamburgerrestauranger" "Max hamburger restaurants"
"landbaserat" "land-based"
"bengt_åke_nilsson" "Bengt Åke Nilsson"
"boriana_åberg" "Boriana åberg"
"samhällsutmaningar" "societal challenges"
"förskolechef" "preschool director"
"friskolesektorn" "independent school"
"västtrafik" "västtrafik"
"pirate_bay" "Pirate Bay"
"specialutställningar" "special exhibitions"
"höghastighetsspår" "high-speed track"
"gränshindersforum" "Border Barrier forum"
"österbybruk" "Osterbybruk"
"bruno_liljefors" "Bruno Liljefors"
"remitteringar" "remittances"
"samstämmighetspolitiken" "coherence policy"
"cirkulär_migration" "circular migration"
"ungdomsärenden" "youth Affairs"
"straffvarning" "penalty warning"
"energipaketet" "energy package"
"budgetrestriktiva" "budget restrictive"
"seskarösågen" "Seskarö saw"
"riskbaserade" "risk-based"
"konsumentkreditlag" "Consumer credit"
"carried" "Carried"
"intresseannonsering" "interest advertising"
"förköpslag" "prepaid type"
"tidskriften_mana" "urging the journal"
"libyens" "Libya"
"stödkontoret" "support office"
"euklimat" "euklimat"
"klimatengagemang" "climate engagement"
"euklimatarbete" "euklimatarbete"
"analyschef" "analysis manager"
"energieffektiviseringsområdet" "energy field"
"förhandlingspersoner" "persons negotiating"
"entrevärdar" "entre hosts"
"yrkeskvalifikationer" "professional qualifications"
"utrikestjänsten" "EEAS"
"failed" "failed"
